Transcript level ProbeID,SYMBOL,logFC,AveExpr,t,P.Value,adj.P.Val,B
TC19000575.hg.1, CYP2S1 ,-2.074963899,7.63627317590176,-4.131121863,0.00193663260523283,0.0528958718895565,-1.163600718
TC19001453.hg.1, HSPB6 ,2.07210474665388,7.49798889629672,3.18036458217402,0.00952463716712833,0.112778036759132,-2.72578633
TC12000487.hg.1, METTL7B ,-2.071288204,6.08754307533521,-3.54468468,0.00511681660146457,0.0828595309265409,-2.118549109
TC09000913.hg.1, MPDZ ,2.06986892331879,4.61032465098679,3.24561332318617,0.0085149849461239,0.106245980777689,-2.616603182
TC15000045.hg.1, SNORD64 ,2.0688182886107,3.16774062395133,5.85609379734053,0.000145434293108295,0.0170131754606737,1.37059315304728
TC04002953.hg.1, AREG ,-2.067829606,6.8940050697657,-2.573665621,0.0272205818724158,0.195539954703182,-3.737927317
TC15000410.hg.1, TMOD2 ,2.06752870022497,6.21761731327228,5.26140980887113,0.000338533797937531,0.0230448060153943,0.548905448226327
TC04001516.hg.1, CCNA2 ,-2.063486623,6.32787026058133,-3.261998491,0.00827910825659246,0.104748394614221,-2.589204952
TC02002627.hg.1, SDPR ,2.06301251709164,4.69084473585477,2.8560629221768,0.0166797799302996,0.149981909986551,-3.26876139
TC12001804.hg.1, DCN ,2.06011780377546,5.16909398231678,4.26643183199311,0.00155707647069831,0.0477731313629558,-0.948885561
TC04001305.hg.1, CXCL10 ,-2.058063053,5.44158958743571,-2.793526686,0.0185904269854538,0.158622154009754,-3.373156669
TC6_mann_hap4000149.hg.1, TNXB ,2.05798612264743,5.69331825467101,5.29100279527974,0.00032421203499445,0.0225247888342312,0.591120178202805
TC19000709.hg.1, FUT2 ,-2.052289046,5.89374915163639,-3.377968163,0.00679029095777351,0.0950142240506074,-2.395594644
TC15000049.hg.1, SNORD116-2 ,2.04984681864474,7.91263181533685,5.89090400816745,0.00013862835301841,0.016804353373823,1.41695885093462
TC19000583.hg.1, CEACAM5 ,-2.049535218,10.3663558246307,-2.707653438,0.0215769579822566,0.172088609708049,-3.516119689
TC11001059.hg.1, TMPRSS4 ,-2.0484013,6.69403717981934,-3.765123456,0.00353477937148387,0.0695544770131576,-1.755479269
TC10000219.hg.1, ZEB1 ,2.04400656976576,6.04639035954833,3.58696945450813,0.00476446780089999,0.0800363376860403,-2.04858685
TC15000052.hg.1, SNORD116-2 ,2.03929694238393,7.79292871050957,5.93054178426707,0.00013129208479021,0.0164417979836411,1.46952300901429
TC15000048.hg.1, SNORD116-1 ,2.03771723075934,7.32261016895816,5.38644970389388,0.000282260288256419,0.0211593432530849,0.726330814318993
TC05000821.hg.1, MIR145 ,2.03690216856569,5.75841188366191,3.5689200947738,0.004911691410236,0.0810253131460548,-2.078433557
TC04001595.hg.1, RNF150 ,2.03539383855995,4.65972756302222,4.22941250253292,0.0016524345041892,0.0492122628965098,-1.007391181
